"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
"GRCAT"	0	0.1	0.3	0.84	0.26	0.67	0.96
""	0.1	0.13	0.42	0.9	0.38	0.85	0.99
""	0.2	0.18	0.55	0.95	0.57	0.95	1
""	0.3	0.26	0.7	0.98	0.72	0.98	1
"GRLOS"	0	0.05	0.13	0.56	0.05	0.14	0.53
""	0.1	0.06	0.18	0.65	0.08	0.21	0.65
""	0.2	0.07	0.23	0.72	0.14	0.34	0.78
""	0.3	0.11	0.33	0.81	0.22	0.55	0.89
"GRMIN"	0	0.03	0.11	0.47	0.03	0.09	0.4
""	0.1	0.05	0.14	0.56	0.05	0.15	0.5
""	0.2	0.06	0.2	0.64	0.08	0.22	0.65
""	0.3	0.1	0.27	0.73	0.13	0.34	0.8
"GRUMA"	0	0.21	0.59	0.96	0.53	0.93	1
""	0.1	0.27	0.69	0.99	0.68	0.98	1
""	0.2	0.36	0.79	1	0.8	1	1
""	0.3	0.48	0.9	1	0.9	1	1
"GRWEN"	0	0.04	0.17	0.65	0.08	0.26	0.7
""	0.1	0.06	0.21	0.74	0.12	0.38	0.83
""	0.2	0.1	0.3	0.82	0.22	0.58	0.92
""	0.3	0.15	0.43	0.9	0.34	0.76	0.96
"IRMAI"	0	0.01	0.04	0.32	0.01	0.03	0.23
""	0.1	0.02	0.07	0.38	0.02	0.05	0.32
""	0.2	0.03	0.1	0.47	0.03	0.09	0.42
""	0.3	0.04	0.13	0.57	0.06	0.18	0.59
"MFBEA"	0	0.02	0.07	0.42	0.02	0.05	0.32
""	0.1	0.03	0.1	0.51	0.03	0.08	0.44
""	0.2	0.05	0.14	0.6	0.06	0.15	0.59
""	0.3	0.06	0.22	0.7	0.1	0.28	0.72
"MFBIG"	0	0.14	0.34	0.8	0.18	0.39	0.81
""	0.1	0.18	0.4	0.84	0.26	0.52	0.88
""	0.2	0.23	0.49	0.91	0.37	0.69	0.95
""	0.3	0.29	0.59	0.95	0.47	0.81	0.98
"MFCAM"	0	0.45	0.75	0.98	0.72	0.98	1
""	0.1	0.53	0.83	1	0.82	0.99	1
""	0.2	0.6	0.9	1	0.9	1	1
""	0.3	0.7	0.96	1	0.95	1	1
"MFCHA"	0	0.02	0.08	0.4	0.02	0.04	0.26
""	0.1	0.03	0.1	0.45	0.02	0.06	0.36
""	0.2	0.04	0.13	0.54	0.05	0.11	0.46
""	0.3	0.06	0.19	0.63	0.07	0.19	0.6
"MFLOO"	0	0.48	0.79	0.99	0.75	0.96	1
""	0.1	0.54	0.85	1	0.84	0.99	1
""	0.2	0.64	0.9	1	0.92	1	1
""	0.3	0.72	0.96	1	0.95	1	1
"MFMAR"	0	0.06	0.17	0.68	0.08	0.25	0.72
""	0.1	0.08	0.25	0.76	0.12	0.4	0.84
""	0.2	0.12	0.33	0.84	0.21	0.57	0.92
""	0.3	0.17	0.44	0.92	0.36	0.76	0.98
"MFSUL"	0	0.49	0.8	0.99	0.82	0.98	1
""	0.1	0.57	0.89	1	0.88	1	1
""	0.2	0.66	0.93	1	0.94	1	1
""	0.3	0.75	0.98	1	0.97	1	1
"MFUMA"	0	0.4	0.74	0.98	0.68	0.92	1
""	0.1	0.48	0.82	0.99	0.78	0.98	1
""	0.2	0.56	0.88	1	0.88	1	1
""	0.3	0.68	0.94	1	0.94	1	1
"SFEFS"	0	0.07	0.17	0.64	0.06	0.18	0.6
""	0.1	0.08	0.24	0.7	0.1	0.28	0.74
""	0.2	0.11	0.28	0.79	0.17	0.42	0.85
""	0.3	0.15	0.4	0.88	0.27	0.61	0.93
"SFMAI"	0	0.01	0.02	0.23	0.01	0.01	0.1
""	0.1	0.01	0.04	0.27	0.01	0.02	0.15
""	0.2	0.02	0.05	0.34	0.01	0.02	0.21
""	0.3	0.02	0.08	0.4	0.02	0.04	0.29
"SFSEC"	0	0.04	0.1	0.47	0.02	0.08	0.37
""	0.1	0.05	0.14	0.53	0.04	0.12	0.46
""	0.2	0.07	0.2	0.62	0.08	0.18	0.56
""	0.3	0.09	0.25	0.71	0.12	0.3	0.69
"SNTUC"	0	0.08	0.23	0.72	0.11	0.33	0.78
""	0.1	0.1	0.29	0.81	0.17	0.48	0.88
""	0.2	0.13	0.4	0.88	0.26	0.66	0.95
""	0.3	0.18	0.51	0.94	0.45	0.85	0.99
"SREFS"	0	0.02	0.08	0.44	0.02	0.07	0.41
""	0.1	0.04	0.12	0.57	0.04	0.11	0.56
""	0.2	0.05	0.15	0.64	0.06	0.22	0.71
""	0.3	0.07	0.22	0.74	0.13	0.4	0.84
"SRLEM"	0	0.05	0.17	0.64	0.07	0.2	0.7
""	0.1	0.07	0.23	0.72	0.1	0.34	0.83
""	0.2	0.1	0.3	0.82	0.19	0.51	0.92
""	0.3	0.15	0.42	0.9	0.31	0.73	0.97
"SRLMA"	0	0.16	0.38	0.84	0.24	0.49	0.85
""	0.1	0.21	0.46	0.89	0.34	0.61	0.91
""	0.2	0.26	0.55	0.94	0.43	0.74	0.97
""	0.3	0.34	0.67	0.97	0.58	0.87	0.99
"SRNFS"	0	0.52	0.86	0.99	0.82	0.99	1
""	0.1	0.6	0.91	1	0.9	1	1
""	0.2	0.7	0.96	1	0.94	1	1
""	0.3	0.79	0.99	1	0.96	1	1
"SRPAH"	0	0.09	0.23	0.69	0.12	0.3	0.73
""	0.1	0.11	0.29	0.78	0.18	0.43	0.83
""	0.2	0.14	0.36	0.86	0.26	0.57	0.92
""	0.3	0.2	0.49	0.93	0.38	0.76	0.98
"SRUMA"	0	0.01	0.03	0.26	0	0.02	0.16
""	0.1	0.01	0.04	0.32	0.01	0.02	0.22
""	0.2	0.02	0.06	0.4	0.02	0.04	0.31
""	0.3	0.03	0.09	0.48	0.03	0.09	0.43
"SRVAL"	0	0.16	0.4	0.87	0.28	0.62	0.95
""	0.1	0.2	0.5	0.93	0.4	0.78	0.99
""	0.2	0.26	0.63	0.97	0.55	0.9	1
""	0.3	0.34	0.75	0.99	0.72	0.98	1
"SRYFS"	0	0.23	0.53	0.94	0.41	0.84	0.99
""	0.1	0.29	0.66	0.97	0.57	0.94	1
""	0.2	0.36	0.75	0.99	0.73	0.98	1
""	0.3	0.47	0.84	1	0.85	0.99	1
"UCENT"	0	0.09	0.29	0.81	0.18	0.46	0.88
""	0.1	0.13	0.37	0.88	0.28	0.63	0.93
""	0.2	0.18	0.47	0.93	0.39	0.8	0.98
""	0.3	0.23	0.59	0.96	0.54	0.91	0.99
"UCMET"	0	0.02	0.08	0.44	0.02	0.08	0.41
""	0.1	0.03	0.1	0.52	0.04	0.13	0.53
""	0.2	0.04	0.14	0.63	0.06	0.21	0.66
""	0.3	0.06	0.22	0.73	0.12	0.38	0.8
"UCWEN"	0	0.03	0.12	0.68	0.07	0.42	0.89
""	0.1	0.04	0.16	0.77	0.15	0.61	0.95
""	0.2	0.06	0.26	0.88	0.29	0.8	0.98
""	0.3	0.09	0.42	0.95	0.48	0.92	1
