"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
"GRCAT"	0	"167 (9-3385)"	"41 (1-589)"	"2 (0-112)"	"29 (1-588)"	"5 (0-69)"	"0 (0-18)"
""	0.1	"134 (6-2903)"	"32 (1-424)"	"1 (0-56)"	"18 (1-442)"	"3 (0-44)"	"0 (0-11)"
""	0.2	"102 (4-2368)"	"21 (0-309)"	"0 (0-38)"	"10 (0-290)"	"1 (0-23)"	"0 (0-5)"
""	0.3	"79 (3-2056)"	"11 (0-236)"	"0 (0-15)"	"5 (0-206)"	"0 (0-11)"	"0 (0-3)"
"GRLOS"	0	"130 (12-1932)"	"58 (4-520)"	"15 (0-267)"	"48 (6-459)"	"23 (3-158)"	"10 (0-84)"
""	0.1	"107 (10-1664)"	"49 (3-443)"	"12 (0-208)"	"40 (5-453)"	"20 (3-131)"	"8 (0-65)"
""	0.2	"96 (7-1819)"	"43 (2-400)"	"9 (0-166)"	"35 (3-372)"	"14 (2-108)"	"5 (0-49)"
""	0.3	"78 (6-1301)"	"36 (2-362)"	"6 (0-131)"	"26 (3-266)"	"11 (1-82)"	"3 (0-32)"
"GRMIN"	0	"172 (14-2537)"	"82 (6-706)"	"28 (0-397)"	"71 (10-665)"	"38 (6-241)"	"21 (1-134)"
""	0.1	"154 (14-2648)"	"76 (5-729)"	"22 (0-324)"	"60 (8-510)"	"33 (4-218)"	"15 (1-101)"
""	0.2	"129 (11-2324)"	"63 (3-639)"	"17 (0-280)"	"54 (7-470)"	"26 (3-178)"	"12 (0-91)"
""	0.3	"114 (9-1719)"	"51 (3-447)"	"12 (0-232)"	"41 (5-400)"	"20 (2-127)"	"9 (0-68)"
"GRUMA"	0	"58 (4-1333)"	"20 (1-250)"	"1 (0-44)"	"14 (1-182)"	"3 (0-35)"	"0 (0-12)"
""	0.1	"50 (2-1039)"	"13 (0-208)"	"1 (0-42)"	"9 (0-193)"	"2 (0-25)"	"0 (0-8)"
""	0.2	"40 (2-849)"	"9 (0-132)"	"0 (0-21)"	"6 (0-121)"	"1 (0-15)"	"0 (0-4)"
""	0.3	"30 (1-820)"	"6 (0-87)"	"0 (0-12)"	"3 (0-84)"	"0 (0-7)"	"0 (0-2)"
"GRWEN"	0	"219 (17-4163)"	"91 (4-839)"	"12 (0-293)"	"67 (7-701)"	"26 (2-225)"	"7 (0-83)"
""	0.1	"175 (11-2633)"	"71 (3-747)"	"8 (0-238)"	"53 (4-686)"	"18 (1-174)"	"4 (0-61)"
""	0.2	"158 (10-2506)"	"56 (2-593)"	"4 (0-161)"	"40 (3-507)"	"12 (0-110)"	"2 (0-45)"
""	0.3	"119 (7-2179)"	"38 (1-451)"	"2 (0-102)"	"28 (2-353)"	"6 (0-67)"	"1 (0-20)"
"IRMAI"	0	"315 (26-4382)"	"153 (10-1303)"	"44 (0-624)"	"124 (16-977)"	"63 (10-439)"	"31 (1-236)"
""	0.1	"295 (25-3756)"	"137 (8-1255)"	"35 (0-592)"	"106 (14-950)"	"54 (7-321)"	"24 (1-192)"
""	0.2	"244 (21-3428)"	"122 (7-1210)"	"27 (0-499)"	"88 (10-882)"	"45 (5-302)"	"18 (0-137)"
""	0.3	"194 (17-3187)"	"93 (5-898)"	"19 (0-370)"	"71 (8-695)"	"34 (3-233)"	"12 (0-108)"
"MFBEA"	0	"211 (16-3421)"	"93 (10-1062)"	"35 (0-447)"	"83 (11-580)"	"50 (8-301)"	"23 (1-187)"
""	0.1	"201 (14-2814)"	"83 (7-867)"	"29 (0-325)"	"75 (8-493)"	"38 (6-243)"	"19 (1-160)"
""	0.2	"164 (12-2332)"	"67 (4-810)"	"21 (0-296)"	"59 (7-517)"	"31 (4-187)"	"13 (0-120)"
""	0.3	"137 (10-1776)"	"53 (5-574)"	"16 (0-196)"	"47 (6-449)"	"24 (2-156)"	"9 (0-95)"
"MFBIG"	0	"57 (5-611)"	"26 (3-240)"	"12 (0-118)"	"24 (3-167)"	"15 (3-87)"	"9 (1-59)"
""	0.1	"50 (4-525)"	"21 (2-265)"	"11 (0-102)"	"22 (3-144)"	"13 (2-71)"	"8 (1-54)"
""	0.2	"46 (4-568)"	"20 (2-191)"	"9 (0-78)"	"18 (3-127)"	"11 (2-66)"	"6 (1-46)"
""	0.3	"37 (3-495)"	"18 (2-180)"	"7 (0-81)"	"16 (2-109)"	"10 (1-54)"	"5 (0-42)"
"MFCAM"	0	"75 (5-908)"	"30 (2-296)"	"8 (0-110)"	"25 (3-192)"	"12 (1-83)"	"4 (0-41)"
""	0.1	"63 (4-878)"	"25 (2-273)"	"6 (0-97)"	"22 (2-175)"	"9 (1-66)"	"3 (0-29)"
""	0.2	"57 (3-764)"	"20 (1-203)"	"4 (0-64)"	"16 (2-153)"	"7 (1-47)"	"2 (0-24)"
""	0.3	"45 (3-726)"	"16 (1-205)"	"3 (0-43)"	"13 (1-117)"	"4 (0-37)"	"1 (0-18)"
"MFCHA"	0	"212 (17-2887)"	"89 (8-1023)"	"42 (1-442)"	"85 (13-591)"	"53 (8-313)"	"30 (2-220)"
""	0.1	"190 (16-2562)"	"85 (8-901)"	"34 (0-365)"	"71 (11-560)"	"46 (7-252)"	"23 (1-182)"
""	0.2	"173 (15-1794)"	"71 (7-657)"	"28 (0-309)"	"63 (8-438)"	"37 (5-211)"	"20 (1-136)"
""	0.3	"137 (10-1529)"	"61 (6-753)"	"22 (0-266)"	"55 (7-457)"	"30 (4-187)"	"14 (0-126)"
"MFLOO"	0	"62 (5-764)"	"26 (2-261)"	"10 (0-106)"	"23 (3-166)"	"13 (2-83)"	"7 (0-50)"
""	0.1	"53 (4-658)"	"23 (2-231)"	"8 (0-88)"	"21 (3-147)"	"12 (2-68)"	"6 (0-50)"
""	0.2	"50 (4-645)"	"20 (1-230)"	"6 (0-78)"	"17 (2-126)"	"10 (1-52)"	"4 (0-40)"
""	0.3	"40 (3-526)"	"17 (1-181)"	"5 (0-61)"	"14 (2-111)"	"7 (1-49)"	"3 (0-26)"
"MFMAR"	0	"242 (15-3788)"	"96 (5-1118)"	"25 (0-358)"	"84 (10-678)"	"40 (5-273)"	"13 (0-136)"
""	0.1	"224 (15-2910)"	"80 (5-958)"	"18 (0-276)"	"73 (7-542)"	"31 (4-176)"	"9 (0-100)"
""	0.2	"161 (11-2787)"	"66 (4-660)"	"12 (0-216)"	"56 (5-474)"	"22 (2-145)"	"6 (0-82)"
""	0.3	"146 (9-2618)"	"47 (3-556)"	"6 (0-140)"	"41 (4-359)"	"13 (1-117)"	"3 (0-52)"
"MFSUL"	0	"71 (4-1118)"	"25 (1-271)"	"5 (0-79)"	"23 (2-181)"	"9 (1-53)"	"2 (0-29)"
""	0.1	"61 (4-728)"	"19 (1-242)"	"3 (0-62)"	"17 (1-172)"	"6 (0-47)"	"1 (0-19)"
""	0.2	"50 (3-772)"	"15 (1-197)"	"2 (0-44)"	"12 (1-129)"	"4 (0-34)"	"1 (0-13)"
""	0.3	"41 (2-747)"	"12 (0-122)"	"1 (0-27)"	"9 (0-101)"	"2 (0-21)"	"0 (0-8)"
"MFUMA"	0	"45 (3-498)"	"19 (1-194)"	"8 (0-81)"	"17 (2-106)"	"10 (2-67)"	"6 (0-44)"
""	0.1	"37 (3-563)"	"16 (2-160)"	"7 (0-70)"	"15 (2-110)"	"9 (1-54)"	"5 (0-33)"
""	0.2	"32 (3-380)"	"13 (1-147)"	"5 (0-60)"	"13 (1-88)"	"7 (1-49)"	"4 (0-31)"
""	0.3	"28 (3-343)"	"12 (1-123)"	"4 (0-50)"	"11 (1-75)"	"6 (1-36)"	"3 (0-23)"
"SFEFS"	0	"97 (8-1307)"	"45 (4-477)"	"16 (0-187)"	"39 (5-336)"	"21 (4-140)"	"11 (0-71)"
""	0.1	"85 (7-1312)"	"39 (3-447)"	"13 (0-162)"	"35 (4-256)"	"18 (3-105)"	"8 (0-69)"
""	0.2	"78 (6-1141)"	"33 (3-337)"	"9 (0-128)"	"29 (3-223)"	"14 (2-91)"	"6 (0-53)"
""	0.3	"62 (5-809)"	"27 (2-272)"	"7 (0-91)"	"23 (3-188)"	"11 (1-70)"	"4 (0-39)"
"SFMAI"	0	"201 (16-2381)"	"95 (11-1083)"	"53 (1-433)"	"89 (13-509)"	"61 (10-323)"	"35 (4-223)"
""	0.1	"185 (19-2266)"	"86 (8-879)"	"43 (1-420)"	"82 (12-478)"	"52 (9-274)"	"29 (3-199)"
""	0.2	"164 (15-2050)"	"77 (7-717)"	"37 (1-329)"	"70 (10-437)"	"44 (7-259)"	"25 (2-159)"
""	0.3	"147 (14-1684)"	"62 (6-678)"	"29 (0-249)"	"58 (8-398)"	"35 (6-202)"	"21 (2-130)"
"SFSEC"	0	"154 (12-1890)"	"67 (7-631)"	"31 (1-302)"	"61 (9-379)"	"39 (5-222)"	"21 (2-175)"
""	0.1	"131 (12-1642)"	"58 (5-612)"	"27 (1-238)"	"54 (8-312)"	"34 (5-208)"	"19 (2-149)"
""	0.2	"114 (9-1372)"	"49 (5-568)"	"23 (0-216)"	"49 (6-332)"	"28 (4-171)"	"15 (1-111)"
""	0.3	"99 (10-1285)"	"45 (4-379)"	"19 (0-174)"	"39 (5-235)"	"25 (4-154)"	"13 (1-98)"
"SNTUC"	0	"237 (15-3433)"	"86 (6-940)"	"19 (0-359)"	"79 (8-578)"	"35 (3-268)"	"10 (0-113)"
""	0.1	"210 (13-3203)"	"76 (4-1045)"	"13 (0-228)"	"63 (6-556)"	"27 (2-200)"	"6 (0-98)"
""	0.2	"173 (10-2795)"	"58 (3-676)"	"7 (0-195)"	"50 (4-497)"	"18 (1-154)"	"3 (0-64)"
""	0.3	"140 (7-2316)"	"43 (2-586)"	"4 (0-137)"	"34 (2-393)"	"10 (0-99)"	"1 (0-44)"
"SREFS"	0	"197 (15-2283)"	"71 (5-850)"	"25 (0-287)"	"67 (8-606)"	"34 (5-236)"	"14 (0-115)"
""	0.1	"153 (13-2021)"	"68 (5-720)"	"19 (0-280)"	"53 (7-490)"	"28 (4-187)"	"10 (0-105)"
""	0.2	"134 (9-2093)"	"56 (5-590)"	"14 (0-188)"	"43 (5-467)"	"20 (2-128)"	"7 (0-63)"
""	0.3	"115 (6-1770)"	"41 (3-456)"	"8 (0-154)"	"35 (3-324)"	"15 (1-102)"	"3 (0-49)"
"SRLEM"	0	"76 (5-1051)"	"29 (2-344)"	"7 (0-101)"	"24 (3-173)"	"11 (1-73)"	"4 (0-35)"
""	0.1	"66 (4-1004)"	"24 (2-306)"	"5 (0-86)"	"19 (2-163)"	"8 (1-54)"	"2 (0-28)"
""	0.2	"55 (3-769)"	"19 (1-192)"	"3 (0-69)"	"16 (1-159)"	"6 (1-40)"	"1 (0-21)"
""	0.3	"44 (3-615)"	"14 (1-187)"	"2 (0-44)"	"11 (1-105)"	"3 (0-24)"	"1 (0-12)"
"SRLMA"	0	"28 (3-304)"	"12 (1-128)"	"6 (0-52)"	"11 (2-67)"	"7 (1-40)"	"4 (0-27)"
""	0.1	"23 (2-275)"	"11 (1-108)"	"5 (0-49)"	"10 (1-65)"	"6 (1-41)"	"3 (0-23)"
""	0.2	"21 (2-253)"	"9 (1-97)"	"4 (0-37)"	"8 (1-56)"	"5 (1-33)"	"3 (0-20)"
