"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
""	0.3	"18 (1-223)"	"8 (1-76)"	"3 (0-36)"	"7 (1-48)"	"4 (1-24)"	"2 (0-17)"
"SRNFS"	0	"54 (5-795)"	"22 (2-241)"	"10 (0-98)"	"21 (3-135)"	"12 (2-67)"	"6 (0-51)"
""	0.1	"47 (4-662)"	"20 (2-222)"	"8 (0-97)"	"18 (2-125)"	"10 (2-61)"	"5 (0-38)"
""	0.2	"41 (3-528)"	"17 (2-172)"	"6 (0-69)"	"16 (2-113)"	"9 (1-56)"	"4 (0-33)"
""	0.3	"35 (3-508)"	"14 (1-155)"	"5 (0-54)"	"12 (1-89)"	"7 (1-42)"	"3 (0-25)"
"SRPAH"	0	"99 (7-1606)"	"39 (3-476)"	"13 (0-229)"	"36 (5-312)"	"19 (2-122)"	"8 (0-66)"
""	0.1	"84 (6-1428)"	"35 (3-388)"	"10 (0-137)"	"30 (4-245)"	"15 (2-92)"	"6 (0-52)"
""	0.2	"73 (5-1228)"	"28 (2-324)"	"7 (0-123)"	"24 (3-207)"	"11 (1-87)"	"4 (0-45)"
""	0.3	"63 (4-968)"	"23 (2-304)"	"5 (0-89)"	"19 (2-207)"	"8 (1-59)"	"2 (0-30)"
"SRUMA"	0	"249 (21-2736)"	"112 (11-1182)"	"47 (1-474)"	"105 (12-672)"	"60 (8-391)"	"33 (2-224)"
""	0.1	"221 (17-2536)"	"97 (8-1029)"	"39 (0-419)"	"89 (12-713)"	"52 (9-349)"	"26 (1-205)"
""	0.2	"197 (15-2497)"	"86 (7-883)"	"32 (0-346)"	"75 (11-512)"	"41 (6-224)"	"20 (1-160)"
""	0.3	"179 (15-2232)"	"78 (6-848)"	"23 (0-298)"	"62 (8-429)"	"32 (4-179)"	"14 (0-131)"
"SRVAL"	0	"132 (9-1918)"	"52 (4-508)"	"16 (0-192)"	"46 (5-344)"	"23 (3-155)"	"8 (0-77)"
""	0.1	"114 (9-1789)"	"45 (3-490)"	"11 (0-188)"	"38 (4-327)"	"18 (2-132)"	"6 (0-63)"
""	0.2	"104 (7-1361)"	"36 (2-461)"	"8 (0-118)"	"32 (3-309)"	"13 (1-88)"	"3 (0-41)"
""	0.3	"87 (6-1192)"	"27 (2-324)"	"4 (0-86)"	"24 (2-197)"	"8 (1-60)"	"2 (0-27)"
"SRYFS"	0	"111 (7-1509)"	"40 (3-444)"	"8 (0-144)"	"33 (4-282)"	"16 (2-129)"	"4 (0-57)"
""	0.1	"92 (6-1238)"	"32 (2-371)"	"7 (0-114)"	"30 (3-244)"	"12 (1-75)"	"2 (0-40)"
""	0.2	"81 (5-1280)"	"28 (2-302)"	"4 (0-87)"	"22 (2-189)"	"7 (1-61)"	"1 (0-26)"
""	0.3	"64 (4-1086)"	"20 (1-216)"	"2 (0-51)"	"16 (1-174)"	"4 (0-38)"	"1 (0-15)"
"UCENT"	0	"190 (11-2779)"	"69 (4-807)"	"14 (0-259)"	"57 (7-525)"	"26 (2-170)"	"7 (0-105)"
""	0.1	"157 (10-2334)"	"59 (3-641)"	"10 (0-171)"	"50 (5-419)"	"19 (1-141)"	"5 (0-79)"
""	0.2	"134 (9-2070)"	"42 (3-535)"	"6 (0-145)"	"37 (3-342)"	"13 (0-103)"	"2 (0-48)"
""	0.3	"112 (6-1616)"	"33 (1-428)"	"3 (0-99)"	"25 (1-259)"	"8 (0-82)"	"1 (0-37)"
"UCMET"	0	"108 (9-1668)"	"43 (3-560)"	"12 (0-171)"	"37 (4-311)"	"19 (2-145)"	"7 (0-67)"
""	0.1	"96 (7-1269)"	"37 (2-425)"	"10 (0-152)"	"33 (4-286)"	"15 (2-116)"	"5 (0-63)"
""	0.2	"83 (6-1162)"	"31 (1-392)"	"6 (0-100)"	"25 (2-220)"	"11 (1-78)"	"3 (0-41)"
""	0.3	"67 (4-1054)"	"22 (1-252)"	"4 (0-92)"	"20 (1-142)"	"7 (0-60)"	"2 (0-27)"
"UCWEN"	0	"459 (19-10374)"	"79 (2-1228)"	"2 (0-117)"	"47 (2-1198)"	"5 (0-91)"	"0 (0-18)"
""	0.1	"377 (12-7230)"	"50 (1-743)"	"1 (0-66)"	"26 (1-781)"	"2 (0-42)"	"0 (0-7)"
""	0.2	"273 (8-8083)"	"26 (0-526)"	"0 (0-29)"	"13 (0-522)"	"1 (0-31)"	"0 (0-4)"
""	0.3	"154 (4-4653)"	"10 (0-290)"	"0 (0-12)"	"4 (0-291)"	"0 (0-10)"	"0 (0-1)"
