,CRPOT,CRLAP,SCLAW,SCUMA,NCLMA,NCUMA,CRLOL,CRLOC,SEMEA,SEMOO,SEUMA,SNTUC,SNASO,GRWEN,GRLOO,GRLOS,GRMIN,GRCAT,GRUMA,IRMAI,IRBSH,SRLSR,SFMAI,SFSEC,SFEFS,MFCHA,MFLMA,MFBIG,MFCAM,MFLOO,MFUMA,MFSUL,MFBEA,MFMAR,SRPAN,SRNFS,SRLEM,SRLMA,SRPAH,SREFS,SRYFS,SRVAL,SRUMA
GRUMA,310.34,305.11,394.53,434.56,371.02,442.99,372.71,443.36,473.61,506.85,524.12,424.23,279.49,178.9,111.27,150.43,152.49,105.31,0,367.87,330.06,406.94,563.75,578.58,579.16,573.34,585.58,651.94,663.83,681.44,695.06,742.58,771.93,764.05,609.02,655.91,753.82,792.66,788.2,842.35,876.67,900.05,919.51
IRMAI,201.45,196.23,285.65,325.68,262.14,334.11,263.83,334.48,364.73,397.97,415.24,315.34,170.6,214.8,274.56,301.6,303.66,368.12,367.87,0,73.51,235.4,392.2,407.04,407.61,401.8,414.04,480.4,492.28,509.9,523.52,571.04,600.38,592.51,437.47,484.36,582.28,621.11,616.65,670.81,705.13,728.51,747.96
IRBSH,163.64,158.41,247.83,287.86,224.32,296.29,226.01,296.66,326.91,360.16,377.42,277.53,132.79,176.98,236.74,263.78,265.84,330.3,330.06,73.51,0,197.58,354.38,369.22,369.8,363.98,376.22,442.58,454.46,472.08,485.7,533.22,562.57,554.69,399.66,446.55,544.46,583.29,578.83,632.99,667.31,690.69,710.14
SRLSR,240.52,235.3,324.72,364.75,301.21,373.18,302.9,373.55,403.8,437.04,454.31,354.41,209.67,253.87,313.63,340.67,342.73,407.19,406.94,235.4,197.58,0,157.12,171.95,172.53,166.71,178.95,245.31,257.2,274.81,288.43,335.95,365.3,357.42,202.39,249.28,347.19,386.03,381.57,435.72,470.04,493.42,512.88
SFMAI,397.33,392.1,481.52,521.55,458.01,529.98,459.71,530.35,560.6,593.85,611.12,511.22,366.48,410.67,470.43,497.47,499.54,563.99,563.75,392.2,354.38,157.12,0,63.27,61.25,173.69,185.93,252.29,264.18,281.79,295.41,342.93,372.28,364.4,209.37,256.26,354.17,393.01,388.55,442.7,477.02,500.4,519.85
SFSEC,412.16,406.94,496.36,536.39,472.85,544.82,474.54,545.19,575.44,608.68,625.95,526.05,381.31,425.51,485.27,512.31,514.37,578.83,578.58,407.04,369.22,171.95,63.27,0,78.69,188.53,200.77,267.13,279.01,296.63,310.25,357.77,387.11,379.24,224.2,271.1,369.01,407.84,403.38,457.54,491.86,515.24,534.69
SFEFS,412.74,407.51,496.94,536.97,473.43,545.4,475.12,545.77,576.02,609.26,626.53,526.63,381.89,426.09,485.85,512.89,514.95,579.41,579.16,407.61,369.8,172.53,61.25,78.69,0,189.11,201.35,267.71,279.59,297.21,310.83,358.35,387.69,379.81,224.78,271.67,369.59,408.42,403.96,458.11,492.43,515.82,535.27
MFCHA,406.92,401.7,491.12,531.15,467.61,539.58,469.3,539.95,570.2,603.44,620.71,520.81,376.07,420.27,480.03,507.07,509.13,573.59,573.34,401.8,363.98,166.71,173.69,188.53,189.11,0,63.8,130.16,142.04,159.66,173.28,220.8,250.14,242.26,87.23,134.12,232.04,270.87,266.41,320.56,354.88,378.27,397.72
MFLMA,419.16,413.94,503.36,543.39,479.85,551.82,481.54,552.19,582.44,615.68,632.95,533.05,388.31,432.51,492.27,519.31,521.37,585.83,585.58,414.04,376.22,178.95,185.93,200.77,201.35,63.8,0,66.36,78.25,95.86,109.48,157,186.35,178.47,23.85,70.74,168.65,207.49,203.03,257.18,291.5,314.88,334.34
MFBIG,485.52,480.3,569.72,609.75,546.21,618.18,547.9,618.55,648.8,682.04,699.31,599.41,454.67,498.87,558.63,585.67,587.73,652.19,651.94,480.4,442.58,245.31,252.29,267.13,267.71,130.16,66.36,0,87.52,105.14,118.76,166.28,195.63,187.75,90.21,137.1,235.01,273.85,269.39,323.54,357.86,381.24,400.7
MFCAM,497.41,492.18,581.6,621.63,558.09,630.06,559.79,630.44,660.68,693.93,711.2,611.3,466.56,510.76,570.51,597.56,599.62,664.07,663.83,492.28,454.46,257.2,264.18,279.01,279.59,142.04,78.25,87.52,0,61.66,75.28,122.8,152.15,144.27,102.09,148.99,246.9,285.73,281.27,335.43,369.75,393.13,412.58
MFLOO,515.02,509.8,599.22,639.25,575.71,647.68,577.4,648.05,678.3,711.54,728.81,628.91,484.17,528.37,588.13,615.17,617.23,681.69,681.44,509.9,472.08,274.81,281.79,296.63,297.21,159.66,95.86,105.14,61.66,0,59.88,107.41,136.75,128.87,119.71,166.6,264.51,303.35,298.89,353.04,387.36,410.74,430.2
MFUMA,528.64,523.42,612.84,652.87,589.33,661.3,591.02,661.67,691.92,725.16,742.43,642.53,497.79,541.99,601.75,628.79,630.85,695.31,695.06,523.52,485.7,288.43,295.41,310.25,310.83,173.28,109.48,118.76,75.28,59.88,0,47.52,76.87,68.99,133.33,180.22,278.13,316.97,312.51,366.66,400.98,424.36,443.82
MFSUL,576.17,570.94,660.36,700.39,636.85,708.82,638.54,709.19,739.44,772.69,789.95,690.06,545.32,589.51,649.27,676.31,678.37,742.83,742.58,571.04,533.22,335.95,342.93,357.77,358.35,220.8,157,166.28,122.8,107.41,47.52,0,45.07,37.19,180.85,227.74,325.66,364.49,360.03,414.18,448.5,471.89,491.34
MFBEA,605.51,600.28,689.71,729.73,666.2,738.16,667.89,738.54,768.79,802.03,819.3,719.4,574.66,618.86,678.62,705.66,707.72,772.18,771.93,600.38,562.57,365.3,372.28,387.11,387.69,250.14,186.35,195.63,152.15,136.75,76.87,45.07,0,28.23,210.2,257.09,355,393.83,389.37,443.53,477.85,501.23,520.68
MFMAR,597.63,592.4,681.83,721.86,658.32,730.29,660.01,730.66,760.91,794.15,811.42,711.52,566.78,610.98,670.74,697.78,699.84,764.3,764.05,592.51,554.69,357.42,364.4,379.24,379.81,242.26,178.47,187.75,144.27,128.87,68.99,37.19,28.23,0,202.32,249.21,347.12,385.96,381.49,435.65,469.97,493.35,512.8
SRPAN,442.6,437.37,526.79,566.82,503.29,575.25,504.98,575.63,605.87,639.12,656.39,556.49,411.75,455.95,515.71,542.75,544.81,609.26,609.02,437.47,399.66,202.39,209.37,224.2,224.78,87.23,23.85,90.21,102.09,119.71,133.33,180.85,210.2,202.32,0,57.75,155.66,194.49,190.03,244.19,278.51,301.89,321.34
SRNFS,489.49,484.26,573.69,613.72,550.18,622.15,551.87,622.52,652.77,686.01,703.28,603.38,458.64,502.84,562.6,589.64,591.7,656.16,655.91,484.36,446.55,249.28,256.26,271.1,271.67,134.12,70.74,137.1,148.99,166.6,180.22,227.74,257.09,249.21,57.75,0,115.58,154.41,149.95,204.11,238.43,261.81,281.26
SRLEM,587.41,582.18,671.6,711.63,648.09,720.06,649.78,720.43,750.68,783.92,801.19,701.29,556.55,600.75,660.51,687.55,689.61,754.07,753.82,582.28,544.46,347.19,354.17,369.01,369.59,232.04,168.65,235.01,246.9,264.51,278.13,325.66,355,347.12,155.66,115.58,0,183.91,179.44,233.6,267.92,291.3,310.75
SRLMA,626.24,621.01,710.43,750.46,686.92,758.89,688.62,759.27,789.51,822.76,840.03,740.13,595.39,639.59,699.34,726.38,728.45,792.9,792.66,621.11,583.29,386.03,393.01,407.84,408.42,270.87,207.49,273.85,285.73,303.35,316.97,364.49,393.83,385.96,194.49,154.41,183.91,0,68.86,49.69,84.01,107.4,126.85
SRPAH,621.78,616.55,705.97,746,682.46,754.43,684.16,754.8,785.05,818.3,835.57,735.67,590.93,635.12,694.88,721.92,723.99,788.44,788.2,616.65,578.83,381.57,388.55,403.38,403.96,266.41,203.03,269.39,281.27,298.89,312.51,360.03,389.37,381.49,190.03,149.95,179.44,68.86,0,118.55,152.87,176.26,195.71
SREFS,675.93,670.7,760.13,800.16,736.62,808.59,738.31,808.96,839.21,872.45,889.72,789.82,645.08,689.28,749.04,776.08,778.14,842.6,842.35,670.81,632.99,435.72,442.7,457.54,458.11,320.56,257.18,323.54,335.43,353.04,366.66,414.18,443.53,435.65,244.19,204.11,233.6,49.69,118.55,0,72.88,96.26,115.71
SRYFS,710.25,705.02,794.45,834.48,770.94,842.91,772.63,843.28,873.53,906.77,924.04,824.14,679.4,723.6,783.36,810.4,812.46,876.92,876.67,705.13,667.31,470.04,477.02,491.86,492.43,354.88,291.5,357.86,369.75,387.36,400.98,448.5,477.85,469.97,278.51,238.43,267.92,84.01,152.87,72.88,0,45.56,65.01
SRVAL,733.63,728.41,817.83,857.86,794.32,866.29,796.01,866.66,896.91,930.15,947.42,847.52,702.78,746.98,806.74,833.78,835.84,900.3,900.05,728.51,690.69,493.42,500.4,515.24,515.82,378.27,314.88,381.24,393.13,410.74,424.36,471.89,501.23,493.35,301.89,261.81,291.3,107.4,176.26,96.26,45.56,0,47.78
SRUMA,753.09,747.86,837.28,877.31,813.77,885.74,815.47,886.11,916.36,949.61,966.88,866.98,722.24,766.43,826.19,853.23,855.3,919.75,919.51,747.96,710.14,512.88,519.85,534.69,535.27,397.72,334.34,400.7,412.58,430.2,443.82,491.34,520.68,512.8,321.34,281.26,310.75,126.85,195.71,115.71,65.01,47.78,0
