"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
""	0.2	"202 (24-2317)"	"67 (8-436)"	"11 (0-121)"	"59 (10-511)"	"26 (4-163)"	"7 (0-65)"
""	0.3	"176 (23-2001)"	"52 (7-344)"	"8 (0-82)"	"47 (7-373)"	"17 (3-92)"	"5 (0-42)"
"MFSUL"	0	"81 (9-914)"	"27 (3-166)"	"4 (0-47)"	"23 (3-170)"	"9 (1-51)"	"3 (0-24)"
""	0.1	"68 (8-850)"	"20 (2-163)"	"3 (0-33)"	"20 (3-162)"	"8 (1-37)"	"2 (0-18)"
""	0.2	"61 (6-791)"	"15 (2-122)"	"2 (0-21)"	"14 (2-149)"	"6 (1-32)"	"1 (0-11)"
""	0.3	"48 (6-629)"	"12 (1-90)"	"1 (0-20)"	"10 (1-125)"	"4 (0-21)"	"1 (0-8)"
"MFUMA"	0	"47 (6-459)"	"19 (2-144)"	"7 (0-64)"	"18 (3-156)"	"11 (2-53)"	"5 (1-28)"
""	0.1	"40 (6-505)"	"17 (2-128)"	"6 (0-53)"	"16 (3-119)"	"9 (2-44)"	"4 (0-25)"
""	0.2	"37 (5-382)"	"15 (2-106)"	"5 (0-40)"	"13 (2-107)"	"8 (1-40)"	"4 (0-22)"
""	0.3	"31 (4-310)"	"13 (2-93)"	"4 (0-34)"	"11 (2-86)"	"6 (1-29)"	"3 (0-20)"
"SFEFS"	0	"114 (17-1222)"	"43 (6-254)"	"13 (0-114)"	"43 (7-303)"	"23 (5-106)"	"10 (1-49)"
""	0.1	"103 (16-1126)"	"38 (5-264)"	"10 (0-104)"	"35 (6-247)"	"20 (4-94)"	"8 (1-41)"
""	0.2	"92 (13-934)"	"34 (4-208)"	"8 (0-68)"	"30 (5-215)"	"16 (3-75)"	"6 (0-31)"
""	0.3	"78 (11-746)"	"27 (4-172)"	"6 (0-54)"	"26 (4-189)"	"12 (2-61)"	"4 (0-24)"
"SFMAI"	0	"217 (29-2423)"	"101 (14-823)"	"39 (2-365)"	"91 (16-659)"	"58 (13-283)"	"32 (4-150)"
""	0.1	"207 (27-2261)"	"89 (12-667)"	"34 (2-289)"	"85 (15-530)"	"50 (10-233)"	"28 (3-140)"
""	0.2	"173 (22-1841)"	"79 (12-517)"	"28 (1-271)"	"74 (15-493)"	"45 (9-205)"	"23 (3-114)"
""	0.3	"152 (21-1621)"	"69 (10-439)"	"23 (1-193)"	"62 (12-438)"	"38 (8-161)"	"19 (2-106)"
"SFSEC"	0	"156 (19-1418)"	"75 (11-459)"	"28 (1-219)"	"64 (12-423)"	"39 (8-197)"	"20 (3-96)"
""	0.1	"146 (20-1380)"	"59 (8-468)"	"22 (1-212)"	"56 (11-409)"	"34 (7-168)"	"17 (2-90)"
""	0.2	"121 (17-1302)"	"54 (7-391)"	"19 (1-195)"	"50 (10-328)"	"29 (6-148)"	"14 (1-70)"
""	0.3	"113 (16-1177)"	"46 (7-291)"	"16 (0-131)"	"42 (8-297)"	"24 (5-117)"	"11 (1-66)"
"SNTUC"	0	"276 (33-3151)"	"96 (11-589)"	"17 (0-208)"	"84 (14-733)"	"38 (6-199)"	"12 (1-101)"
""	0.1	"245 (23-2782)"	"78 (9-527)"	"13 (0-135)"	"71 (11-606)"	"28 (5-159)"	"9 (0-75)"
""	0.2	"211 (26-2187)"	"60 (7-447)"	"9 (0-111)"	"53 (9-537)"	"22 (3-127)"	"6 (0-56)"
""	0.3	"160 (18-2001)"	"48 (5-412)"	"6 (0-90)"	"40 (6-428)"	"14 (2-93)"	"3 (0-36)"
"SREFS"	0	"213 (25-2025)"	"81 (11-597)"	"20 (1-179)"	"68 (13-558)"	"38 (7-175)"	"13 (1-91)"
""	0.1	"191 (23-2181)"	"64 (9-481)"	"15 (0-144)"	"61 (10-526)"	"31 (6-140)"	"10 (0-71)"
""	0.2	"164 (21-1717)"	"54 (7-361)"	"12 (0-107)"	"51 (8-395)"	"23 (4-121)"	"7 (0-55)"
""	0.3	"134 (15-1511)"	"44 (6-325)"	"8 (0-75)"	"39 (6-330)"	"17 (3-91)"	"5 (0-41)"
"SRLEM"	0	"88 (10-978)"	"29 (4-215)"	"5 (0-66)"	"27 (4-194)"	"12 (2-60)"	"4 (0-29)"
""	0.1	"74 (7-814)"	"24 (3-196)"	"4 (0-45)"	"22 (3-189)"	"9 (2-56)"	"3 (0-22)"
""	0.2	"62 (7-759)"	"18 (2-152)"	"3 (0-38)"	"18 (3-140)"	"7 (1-36)"	"2 (0-17)"
""	0.3	"53 (5-697)"	"14 (2-110)"	"2 (0-20)"	"12 (2-120)"	"5 (1-24)"	"1 (0-13)"
"SRLMA"	0	"30 (4-300)"	"12 (2-86)"	"5 (0-41)"	"11 (2-87)"	"7 (1-35)"	"4 (0-19)"
""	0.1	"25 (3-264)"	"11 (2-87)"	"4 (0-37)"	"10 (2-71)"	"6 (1-30)"	"3 (0-17)"
""	0.2	"23 (3-236)"	"10 (2-69)"	"3 (0-30)"	"9 (2-67)"	"5 (1-25)"	"3 (0-16)"
""	0.3	"20 (3-195)"	"8 (1-56)"	"3 (0-25)"	"8 (1-50)"	"4 (1-21)"	"2 (0-11)"
"SRNFS"	0	"55 (7-631)"	"24 (3-202)"	"8 (0-76)"	"21 (4-161)"	"13 (3-60)"	"6 (1-35)"
""	0.1	"52 (7-573)"	"20 (3-157)"	"6 (0-66)"	"19 (3-140)"	"11 (2-48)"	"5 (0-32)"
""	0.2	"44 (7-526)"	"18 (2-130)"	"5 (0-50)"	"17 (3-135)"	"9 (1-43)"	"4 (0-22)"
""	0.3	"39 (5-455)"	"15 (2-109)"	"4 (0-38)"	"13 (2-111)"	"7 (2-43)"	"3 (0-18)"
"SRPAH"	0	"115 (12-1464)"	"46 (5-331)"	"10 (0-119)"	"35 (6-353)"	"20 (3-98)"	"8 (0-56)"
""	0.1	"99 (11-1211)"	"36 (5-261)"	"8 (0-83)"	"32 (6-287)"	"17 (3-80)"	"6 (0-42)"
""	0.2	"86 (8-1066)"	"29 (3-231)"	"6 (0-63)"	"27 (5-248)"	"13 (2-68)"	"4 (0-30)"
""	0.3	"72 (7-841)"	"23 (3-200)"	"4 (0-58)"	"21 (3-197)"	"10 (2-52)"	"3 (0-20)"
"SRUMA"	0	"294 (41-3128)"	"116 (17-835)"	"39 (1-376)"	"108 (19-830)"	"63 (14-304)"	"30 (3-156)"
""	0.1	"249 (34-2526)"	"104 (16-664)"	"31 (1-307)"	"91 (18-726)"	"55 (12-275)"	"24 (2-127)"
""	0.2	"229 (31-2312)"	"90 (13-640)"	"25 (1-236)"	"79 (13-609)"	"42 (9-236)"	"18 (1-109)"
""	0.3	"185 (25-1837)"	"71 (10-683)"	"19 (0-180)"	"68 (12-550)"	"35 (6-150)"	"14 (1-76)"
"SRVAL"	0	"157 (20-1818)"	"54 (8-431)"	"12 (0-108)"	"49 (9-384)"	"25 (5-112)"	"8 (0-59)"
""	0.1	"134 (18-1560)"	"44 (5-311)"	"10 (0-86)"	"42 (7-326)"	"21 (3-96)"	"6 (0-49)"
""	0.2	"111 (15-1229)"	"37 (5-274)"	"7 (0-74)"	"33 (5-290)"	"15 (2-78)"	"4 (0-34)"
""	0.3	"94 (12-1043)"	"28 (4-205)"	"4 (0-46)"	"26 (4-244)"	"10 (2-60)"	"3 (0-23)"
"SRYFS"	0	"124 (15-1624)"	"41 (5-322)"	"8 (0-81)"	"38 (6-323)"	"17 (3-83)"	"5 (0-37)"
""	0.1	"108 (12-1177)"	"34 (5-251)"	"6 (0-58)"	"32 (5-243)"	"13 (2-66)"	"4 (0-28)"
""	0.2	"91 (11-1150)"	"27 (3-194)"	"4 (0-45)"	"24 (5-220)"	"9 (1-53)"	"3 (0-21)"
""	0.3	"79 (9-971)"	"21 (2-150)"	"2 (0-29)"	"19 (3-162)"	"6 (1-32)"	"1 (0-14)"
"UCENT"	0	"235 (28-2389)"	"73 (9-576)"	"14 (0-139)"	"68 (11-520)"	"29 (5-164)"	"10 (1-70)"
""	0.1	"192 (23-2560)"	"60 (8-407)"	"10 (0-116)"	"54 (9-492)"	"24 (4-127)"	"7 (0-55)"
""	0.2	"157 (17-2130)"	"46 (5-349)"	"7 (0-90)"	"43 (6-382)"	"17 (2-92)"	"4 (0-41)"
""	0.3	"131 (16-1761)"	"35 (4-278)"	"4 (0-63)"	"35 (4-285)"	"12 (1-72)"	"3 (0-30)"
"UCMET"	0	"120 (16-1402)"	"45 (6-393)"	"11 (0-132)"	"41 (7-292)"	"20 (4-115)"	"8 (0-58)"
""	0.1	"109 (13-1224)"	"39 (5-326)"	"9 (0-90)"	"35 (6-293)"	"16 (3-88)"	"5 (0-47)"
""	0.2	"90 (12-1203)"	"31 (4-245)"	"6 (0-72)"	"28 (4-228)"	"13 (2-67)"	"4 (0-37)"
""	0.3	"76 (10-958)"	"23 (3-186)"	"5 (0-46)"	"22 (3-188)"	"9 (1-56)"	"3 (0-24)"
"UCWEN"	0	"499 (40-9829)"	"79 (8-841)"	"5 (0-95)"	"65 (5-1070)"	"15 (1-109)"	"2 (0-33)"
""	0.1	"373 (31-6964)"	"53 (4-524)"	"3 (0-66)"	"46 (4-957)"	"9 (1-82)"	"1 (0-23)"
""	0.2	"269 (21-5186)"	"35 (2-385)"	"2 (0-44)"	"29 (2-590)"	"5 (0-54)"	"1 (0-14)"
""	0.3	"201 (14-4728)"	"20 (1-238)"	"1 (0-23)"	"17 (1-466)"	"2 (0-33)"	"0 (0-9)"
