"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
"GRCAT"	0	"1666 (86-33854)"	"409 (11-5888)"	"18 (0-1122)"	"289 (13-5883)"	"53 (2-687)"	"5 (0-179)"
""	0.1	"1340 (57-29032)"	"322 (8-4238)"	"8 (0-556)"	"179 (7-4421)"	"29 (1-439)"	"2 (0-108)"
""	0.2	"1017 (43-23681)"	"206 (4-3094)"	"3 (0-380)"	"102 (3-2903)"	"12 (0-229)"	"1 (0-47)"
""	0.3	"794 (28-20562)"	"109 (1-2362)"	"1 (0-152)"	"52 (1-2058)"	"4 (0-112)"	"0 (0-25)"
"GRLOS"	0	"1303 (119-19325)"	"582 (39-5202)"	"149 (1-2666)"	"480 (63-4593)"	"235 (30-1583)"	"103 (2-841)"
""	0.1	"1073 (101-16643)"	"493 (27-4426)"	"121 (0-2081)"	"396 (50-4527)"	"198 (25-1313)"	"79 (1-651)"
""	0.2	"958 (74-18188)"	"426 (23-4000)"	"92 (0-1658)"	"353 (35-3721)"	"142 (15-1077)"	"53 (0-489)"
""	0.3	"781 (57-13009)"	"357 (17-3625)"	"58 (0-1310)"	"257 (33-2665)"	"107 (9-825)"	"32 (0-324)"
"GRMIN"	0	"1287 (103-19028)"	"617 (48-5294)"	"211 (2-2975)"	"531 (76-4985)"	"281 (45-1805)"	"156 (7-1006)"
""	0.1	"1154 (103-19861)"	"573 (36-5466)"	"166 (2-2431)"	"450 (64-3828)"	"246 (32-1638)"	"114 (4-759)"
""	0.2	"970 (82-17427)"	"476 (26-4796)"	"126 (1-2096)"	"402 (55-3526)"	"198 (25-1336)"	"93 (2-681)"
""	0.3	"855 (68-12895)"	"384 (21-3355)"	"90 (0-1737)"	"309 (41-3003)"	"150 (17-956)"	"67 (1-513)"
"GRUMA"	0	"579 (36-13331)"	"197 (6-2496)"	"12 (0-436)"	"139 (9-1825)"	"33 (1-347)"	"4 (0-118)"
""	0.1	"504 (24-10387)"	"130 (4-2080)"	"6 (0-421)"	"93 (5-1927)"	"17 (1-253)"	"2 (0-75)"
""	0.2	"402 (20-8493)"	"90 (2-1325)"	"2 (0-212)"	"62 (2-1206)"	"8 (0-151)"	"1 (0-44)"
""	0.3	"302 (12-8201)"	"58 (1-875)"	"1 (0-118)"	"30 (1-840)"	"3 (0-72)"	"0 (0-20)"
"GRWEN"	0	"1645 (127-31225)"	"684 (30-6289)"	"94 (0-2198)"	"502 (50-5256)"	"195 (16-1686)"	"51 (0-622)"
""	0.1	"1312 (83-19749)"	"533 (23-5604)"	"62 (0-1782)"	"398 (32-5145)"	"134 (8-1308)"	"27 (0-457)"
""	0.2	"1185 (74-18793)"	"423 (16-4450)"	"33 (0-1210)"	"296 (24-3806)"	"88 (4-828)"	"13 (0-337)"
""	0.3	"893 (55-16342)"	"281 (9-3380)"	"16 (0-768)"	"211 (12-2648)"	"45 (1-504)"	"5 (0-153)"
"IRMAI"	0	"2359 (194-32867)"	"1149 (73-9776)"	"329 (3-4681)"	"933 (120-7331)"	"475 (72-3290)"	"233 (8-1769)"
""	0.1	"2216 (188-28171)"	"1027 (60-9415)"	"261 (2-4442)"	"796 (107-7128)"	"407 (49-2404)"	"178 (4-1440)"
""	0.2	"1832 (159-25710)"	"914 (52-9073)"	"203 (1-3744)"	"662 (75-6618)"	"336 (39-2268)"	"134 (1-1027)"
""	0.3	"1453 (128-23899)"	"699 (38-6732)"	"142 (0-2772)"	"530 (59-5210)"	"252 (21-1744)"	"90 (1-809)"
