"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
"MFBEA"	0	"1586 (117-25660)"	"695 (76-7965)"	"263 (3-3350)"	"624 (79-4349)"	"377 (57-2259)"	"171 (10-1401)"
""	0.1	"1510 (105-21102)"	"624 (50-6506)"	"214 (1-2436)"	"566 (62-3699)"	"284 (42-1824)"	"139 (5-1202)"
""	0.2	"1227 (93-17487)"	"502 (32-6072)"	"160 (1-2217)"	"443 (55-3881)"	"236 (30-1403)"	"100 (2-900)"
""	0.3	"1030 (73-13319)"	"400 (36-4307)"	"122 (0-1473)"	"355 (43-3370)"	"180 (18-1173)"	"67 (1-713)"
"MFBIG"	0	"567 (51-6114)"	"265 (26-2401)"	"122 (4-1179)"	"245 (31-1665)"	"153 (26-871)"	"91 (10-593)"
""	0.1	"504 (44-5254)"	"214 (23-2652)"	"110 (2-1017)"	"225 (33-1441)"	"133 (22-708)"	"76 (8-544)"
""	0.2	"458 (38-5685)"	"201 (19-1905)"	"93 (2-783)"	"185 (28-1270)"	"113 (15-656)"	"63 (5-459)"
""	0.3	"375 (32-4946)"	"177 (17-1803)"	"73 (1-807)"	"159 (21-1092)"	"95 (14-539)"	"53 (3-416)"
"MFCAM"	0	"376 (24-4539)"	"149 (11-1482)"	"40 (0-550)"	"126 (14-959)"	"60 (7-416)"	"21 (0-207)"
""	0.1	"317 (20-4388)"	"125 (9-1367)"	"30 (0-487)"	"112 (10-875)"	"47 (5-330)"	"14 (0-146)"
""	0.2	"285 (17-3822)"	"100 (7-1013)"	"21 (0-321)"	"80 (8-766)"	"35 (3-233)"	"9 (0-122)"
""	0.3	"223 (15-3632)"	"78 (5-1023)"	"13 (0-217)"	"63 (5-583)"	"22 (1-187)"	"4 (0-88)"
"MFCHA"	0	"1588 (126-21649)"	"667 (63-7674)"	"317 (4-3315)"	"638 (96-4429)"	"401 (63-2344)"	"223 (16-1653)"
""	0.1	"1425 (122-19215)"	"640 (59-6760)"	"255 (3-2741)"	"531 (86-4198)"	"341 (51-1891)"	"176 (9-1367)"
""	0.2	"1295 (109-13456)"	"529 (49-4927)"	"207 (1-2320)"	"475 (63-3284)"	"279 (40-1584)"	"150 (7-1018)"
""	0.3	"1029 (78-11465)"	"458 (41-5646)"	"166 (1-1997)"	"411 (53-3427)"	"224 (27-1401)"	"106 (2-941)"
"MFLOO"	0	"308 (23-3820)"	"129 (11-1304)"	"51 (0-530)"	"114 (15-828)"	"66 (10-414)"	"33 (2-251)"
""	0.1	"266 (22-3290)"	"115 (8-1157)"	"41 (0-441)"	"105 (14-733)"	"60 (8-340)"	"29 (1-251)"
""	0.2	"250 (20-3223)"	"100 (6-1150)"	"32 (0-391)"	"87 (12-630)"	"49 (7-261)"	"22 (0-201)"
""	0.3	"201 (15-2629)"	"83 (7-906)"	"23 (0-303)"	"70 (8-554)"	"37 (4-243)"	"15 (0-130)"
"MFMAR"	0	"1211 (74-18940)"	"480 (27-5588)"	"125 (1-1788)"	"420 (50-3389)"	"201 (24-1367)"	"67 (1-680)"
""	0.1	"1118 (74-14548)"	"402 (25-4789)"	"90 (0-1382)"	"366 (35-2708)"	"155 (18-879)"	"44 (0-499)"
""	0.2	"805 (56-13934)"	"330 (19-3300)"	"62 (0-1082)"	"280 (23-2371)"	"110 (10-726)"	"28 (0-411)"
""	0.3	"728 (47-13088)"	"234 (13-2782)"	"32 (0-698)"	"203 (18-1796)"	"66 (5-584)"	"14 (0-258)"
"MFSUL"	0	"356 (22-5591)"	"124 (7-1354)"	"25 (0-394)"	"116 (10-904)"	"44 (4-264)"	"10 (0-146)"
""	0.1	"304 (18-3641)"	"97 (6-1209)"	"15 (0-308)"	"85 (6-861)"	"29 (2-237)"	"6 (0-97)"
""	0.2	"250 (14-3859)"	"76 (4-985)"	"9 (0-218)"	"62 (5-646)"	"19 (1-170)"	"3 (0-67)"
""	0.3	"204 (11-3736)"	"58 (2-609)"	"4 (0-133)"	"43 (2-505)"	"9 (0-105)"	"1 (0-40)"
"MFUMA"	0	"337 (25-3732)"	"141 (11-1457)"	"62 (1-607)"	"131 (18-795)"	"78 (12-505)"	"43 (4-332)"
""	0.1	"278 (22-4225)"	"121 (12-1204)"	"52 (1-525)"	"113 (13-828)"	"65 (10-403)"	"37 (3-248)"
""	0.2	"241 (19-2848)"	"101 (10-1103)"	"41 (0-453)"	"97 (10-661)"	"56 (7-370)"	"28 (2-235)"
""	0.3	"210 (19-2571)"	"88 (8-925)"	"33 (0-377)"	"79 (9-559)"	"45 (6-268)"	"20 (1-175)"
"SFEFS"	0	"970 (77-13073)"	"448 (37-4770)"	"157 (1-1872)"	"395 (48-3361)"	"213 (35-1400)"	"107 (4-706)"
""	0.1	"847 (69-13123)"	"386 (30-4470)"	"126 (0-1623)"	"348 (43-2558)"	"179 (28-1052)"	"82 (2-687)"
""	0.2	"784 (57-11412)"	"326 (26-3372)"	"95 (0-1283)"	"294 (32-2230)"	"143 (20-914)"	"57 (1-531)"
""	0.3	"618 (51-8094)"	"272 (17-2723)"	"68 (0-909)"	"231 (27-1877)"	"111 (12-703)"	"37 (0-388)"
"SFMAI"	0	"2014 (156-23810)"	"953 (110-10826)"	"526 (13-4327)"	"891 (135-5093)"	"610 (102-3231)"	"353 (41-2228)"
""	0.1	"1848 (185-22662)"	"857 (84-8790)"	"425 (14-4203)"	"817 (119-4780)"	"521 (87-2736)"	"290 (29-1991)"
""	0.2	"1638 (146-20500)"	"773 (73-7173)"	"369 (8-3285)"	"702 (97-4367)"	"443 (67-2590)"	"252 (21-1586)"
""	0.3	"1473 (145-16842)"	"619 (64-6777)"	"290 (4-2487)"	"577 (83-3981)"	"351 (61-2024)"	"210 (16-1295)"
"SFSEC"	0	"1157 (91-14171)"	"500 (54-4733)"	"230 (6-2264)"	"459 (65-2841)"	"293 (38-1666)"	"161 (17-1314)"
""	0.1	"981 (88-12315)"	"435 (41-4591)"	"202 (5-1787)"	"404 (61-2337)"	"256 (40-1559)"	"141 (15-1121)"
""	0.2	"857 (64-10290)"	"369 (37-4263)"	"169 (3-1618)"	"366 (49-2489)"	"213 (33-1282)"	"116 (7-836)"
""	0.3	"745 (73-9638)"	"338 (31-2844)"	"142 (2-1308)"	"294 (38-1763)"	"187 (29-1152)"	"99 (6-733)"
"SNTUC"	0	"1183 (77-17164)"	"428 (31-4698)"	"95 (0-1797)"	"395 (38-2890)"	"173 (17-1342)"	"51 (0-565)"
""	0.1	"1048 (63-16014)"	"380 (22-5223)"	"66 (0-1140)"	"317 (28-2779)"	"133 (8-1001)"	"30 (0-490)"
""	0.2	"866 (50-13974)"	"292 (14-3378)"	"37 (0-976)"	"249 (21-2486)"	"90 (4-768)"	"17 (0-320)"
""	0.3	"698 (36-11582)"	"215 (8-2930)"	"19 (0-685)"	"168 (11-1963)"	"48 (2-497)"	"7 (0-220)"
"SREFS"	0	"1974 (154-22834)"	"705 (55-8497)"	"248 (1-2875)"	"667 (79-6058)"	"344 (48-2356)"	"142 (3-1147)"
""	0.1	"1532 (126-20211)"	"676 (50-7196)"	"193 (0-2796)"	"530 (69-4899)"	"277 (39-1867)"	"99 (2-1052)"
""	0.2	"1344 (87-20927)"	"564 (45-5897)"	"137 (0-1876)"	"426 (51-4667)"	"204 (21-1279)"	"67 (1-626)"
""	0.3	"1149 (61-17699)"	"414 (27-4558)"	"83 (0-1541)"	"348 (31-3237)"	"154 (14-1024)"	"33 (0-490)"
"SRLEM"	0	"1529 (98-21024)"	"582 (36-6883)"	"139 (0-2022)"	"490 (57-3468)"	"228 (25-1465)"	"71 (1-702)"
""	0.1	"1320 (86-20075)"	"476 (32-6122)"	"91 (0-1717)"	"386 (36-3268)"	"170 (16-1081)"	"47 (0-560)"
""	0.2	"1101 (66-15379)"	"373 (21-3832)"	"62 (0-1374)"	"324 (28-3172)"	"118 (11-806)"	"24 (0-424)"
""	0.3	"877 (53-12294)"	"287 (17-3745)"	"35 (0-885)"	"226 (19-2103)"	"67 (4-486)"	"11 (0-247)"
"SRLMA"	0	"550 (51-6071)"	"244 (26-2556)"	"115 (3-1044)"	"222 (34-1348)"	"144 (23-795)"	"81 (8-532)"
""	0.1	"468 (36-5491)"	"216 (22-2152)"	"96 (3-980)"	"204 (27-1302)"	"120 (19-817)"	"69 (5-451)"
""	0.2	"429 (35-5067)"	"174 (20-1934)"	"78 (2-735)"	"168 (21-1113)"	"105 (15-668)"	"59 (4-397)"
""	0.3	"351 (30-4464)"	"157 (14-1513)"	"64 (1-716)"	"141 (18-960)"	"89 (13-480)"	"47 (2-348)"
"SRNFS"	0	"268 (24-3974)"	"112 (10-1204)"	"49 (1-492)"	"106 (16-676)"	"60 (8-334)"	"32 (2-254)"
""	0.1	"233 (19-3312)"	"98 (9-1111)"	"41 (0-487)"	"90 (12-626)"	"52 (8-307)"	"26 (2-189)"
""	0.2	"207 (14-2640)"	"86 (8-859)"	"31 (0-346)"	"79 (10-564)"	"45 (5-282)"	"20 (1-165)"
""	0.3	"174 (15-2542)"	"72 (6-774)"	"24 (0-271)"	"60 (6-447)"	"34 (4-211)"	"15 (0-126)"
"SRPAH"	0	"986 (71-16064)"	"391 (29-4763)"	"130 (1-2285)"	"360 (46-3122)"	"187 (25-1220)"	"76 (1-657)"
""	0.1	"837 (57-14276)"	"353 (25-3880)"	"96 (0-1371)"	"297 (35-2449)"	"149 (16-918)"	"58 (1-516)"
""	0.2	"733 (53-12285)"	"283 (17-3238)"	"70 (0-1226)"	"239 (27-2066)"	"115 (12-865)"	"39 (0-455)"
""	0.3	"627 (42-9682)"	"228 (15-3036)"	"45 (0-894)"	"190 (21-2068)"	"80 (7-592)"	"22 (0-295)"
"SRUMA"	0	"2494 (214-27355)"	"1115 (105-11821)"	"468 (6-4739)"	"1052 (121-6717)"	"595 (81-3915)"	"334 (16-2241)"
""	0.1	"2210 (167-25360)"	"970 (82-10292)"	"388 (4-4190)"	"894 (116-7129)"	"521 (91-3494)"	"265 (11-2051)"
""	0.2	"1965 (153-24967)"	"857 (72-8826)"	"317 (2-3464)"	"754 (114-5117)"	"405 (57-2236)"	"197 (7-1604)"
""	0.3	"1787 (153-22316)"	"776 (62-8483)"	"226 (1-2978)"	"623 (76-4290)"	"320 (39-1788)"	"142 (3-1311)"
"SRVAL"	0	"658 (43-9588)"	"260 (22-2541)"	"81 (0-961)"	"231 (25-1721)"	"113 (15-775)"	"41 (1-385)"
""	0.1	"571 (44-8946)"	"225 (15-2449)"	"56 (0-940)"	"189 (22-1634)"	"91 (10-661)"	"28 (0-315)"
""	0.2	"518 (33-6803)"	"182 (10-2305)"	"38 (0-590)"	"162 (17-1543)"	"64 (7-440)"	"17 (0-206)"
""	0.3	"437 (29-5962)"	"133 (9-1622)"	"22 (0-432)"	"119 (11-983)"	"41 (3-300)"	"9 (0-135)"
"SRYFS"	0	"557 (34-7547)"	"198 (13-2218)"	"42 (0-721)"	"167 (20-1409)"	"80 (8-644)"	"19 (0-286)"
""	0.1	"461 (30-6188)"	"159 (9-1853)"	"33 (0-568)"	"148 (13-1221)"	"58 (6-374)"	"12 (0-198)"
""	0.2	"406 (23-6398)"	"141 (8-1509)"	"19 (0-435)"	"110 (11-943)"	"37 (3-307)"	"6 (0-131)"
""	0.3	"322 (20-5432)"	"100 (4-1081)"	"10 (0-255)"	"82 (7-869)"	"22 (1-190)"	"3 (0-74)"
"UCENT"	0	"950 (57-13893)"	"347 (20-4036)"	"72 (0-1296)"	"284 (33-2624)"	"129 (9-851)"	"36 (0-524)"
""	0.1	"787 (51-11671)"	"297 (15-3204)"	"52 (0-857)"	"249 (25-2097)"	"96 (6-704)"	"24 (0-397)"
""	0.2	"668 (47-10348)"	"212 (13-2675)"	"30 (0-724)"	"185 (13-1708)"	"65 (2-514)"	"12 (0-238)"
""	0.3	"561 (29-8080)"	"163 (6-2141)"	"16 (0-493)"	"127 (6-1296)"	"40 (1-412)"	"5 (0-184)"
"UCMET"	0	"2161 (172-33360)"	"866 (65-11191)"	"248 (0-3419)"	"743 (76-6222)"	"386 (43-2898)"	"142 (1-1347)"
""	0.1	"1919 (144-25384)"	"743 (38-8509)"	"195 (0-3046)"	"661 (71-5728)"	"303 (31-2325)"	"110 (1-1262)"
""	0.2	"1668 (110-23237)"	"612 (29-7840)"	"124 (0-2007)"	"500 (42-4404)"	"216 (15-1561)"	"68 (0-819)"
""	0.3	"1349 (77-21088)"	"435 (22-5034)"	"75 (0-1841)"	"394 (29-2833)"	"145 (8-1196)"	"33 (0-546)"
"UCWEN"	0	"9177 (373-207481)"	"1589 (41-24567)"	"33 (0-2335)"	"942 (34-23954)"	"98 (2-1816)"	"4 (0-368)"
""	0.1	"7536 (246-144594)"	"1009 (23-14867)"	"15 (0-1315)"	"527 (11-15624)"	"39 (0-848)"	"1 (0-144)"
""	0.2	"5461 (158-161662)"	"524 (7-10516)"	"5 (0-587)"	"265 (2-10434)"	"11 (0-610)"	"0 (0-74)"
""	0.3	"3084 (85-93054)"	"208 (2-5807)"	"1 (0-240)"	"89 (1-5811)"	"3 (0-207)"	"0 (0-25)"
